uid,Progress,Duration (in seconds),Finished,bergami_org,bergami_dept,pros,cons,story,bergami_org_num,bergami_dept_num,mael_avg,Length of Service in Years,Job Title,Division,Department,Function,Work Location,Work State,Work Country,Legal Entity Name,Year of Birth,Gender,EEO Code,2019 Performance,2020 Performance,Collabera,2019_perf_dummy,2020_perf_dummy,disengagement,exhaustion,burnout,race,low_quality_response,pros_toks,cons_toks,story_toks,pros_we,pros_i,pros_they,cons_we,cons_i,cons_they,story_we,story_i,story_they,pros_cleaned,cons_cleaned,story_cleaned,pros_toks_len,cons_toks_len,story_toks_len,glassdoor_toks,glassdoor_cleaned,glassdoor_toks_len,low_quality_pros,low_quality_cons,low_quality_story,pros_topic1,pros_topic2,pros_topic3,pros_topic4,pros_topic5,pros_topic6,pros_topic7,pros_topic8,pros_topic9,pros_topic10,cons_topic1,cons_topic2,cons_topic3,cons_topic4,cons_topic5,cons_topic6,cons_topic7,cons_topic8,cons_topic9,cons_topic10
U169,100,415,True,G,H,It's our second home and family :) Collabera has given me a identity what I am today as a person ,"I know we work in US culture, but leaves should be given on Indian festivals as we miss sometimes some special moments with our family too ","We at collabera always work as a team and work with a very healthy competition

We are   insanely competitive ",7.0,8.0,5.0,7.46,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Female,Asian,Achieved,Achieved,1,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,Asian,0,"['second', 'home', 'family', ':)', 'given', 'identity', 'today', 'person']","['know', 'culture', 'leaf', 'given', 'indian', 'festival', 'miss', 'special', 'moment', 'family']","['team', 'healthy', 'competition', 'insanely', 'competitive']",1,2,0,4,1,0,2,0,0,second home family :) given identity today person,know culture leaf given indian festival miss special moment family,team healthy competition insanely competitive,8,10,5,"['second', 'home', 'family', ':)', 'given', 'identity', 'today', 'person', 'know', 'culture', 'leaf', 'given', 'indian', 'festival', 'miss', 'special', 'moment', 'family']",second home family :) given identity today person know culture leaf given indian festival miss special moment family,18,0,0,0,0.011120417155325413,0.011120484210550785,0.011123082600533962,0.011123749427497387,0.011121564544737339,0.6778022050857544,0.011120853014290333,0.011122833006083965,0.2332165241241455,0.01112833060324192,0.13110461831092834,0.010005190968513489,0.5253919959068298,0.010004837065935135,0.010003328323364258,0.010004478506743908,0.010006509721279144,0.010006805881857872,0.010006586089730263,0.273465633392334
U122,100,348,True,C,F,"I love the support and partnerships built through my work. I feel we make an impact with our end clients, but also with each candidate - at the end of the day, my job helps others, which is very important to me!","I feel there is too much dumped on some, while others have a light load. ",Work hard/play hard - numerous accounts of my team staying to support positions in the evenings and weekends! I love the mentality that Collabera brings to do things quickly and efficiently. ,3.0,6.0,4.666666666666667,8.56,Senior Account Manager,Enterprise Services Group,Sales,Sales,Reston (Sunrise Valley),Virginia,U.S.A.,Collabera Inc.,1986,Female,White,Not Applicable,Not Applicable,1,,,1.3333333333333333,2.6666666666666665,2.0,White,0,"['love', 'support', 'partnership', 'built', 'feel', 'impact', 'end', 'client', 'candidate', 'end', 'day', 'job', 'help', 'important']","['feel', 'dumped', 'light', 'load']","['hard', 'play', 'hard', 'numerous', 'account', 'team', 'staying', 'support', 'position', 'evening', 'weekend', 'love', 'mentality', 'brings', 'thing', 'quickly', 'efficiently']",2,5,0,0,1,0,0,2,0,love support partnership built feel impact end client candidate end day job help important,feel dumped light load,hard play hard numerous account team staying support position evening weekend love mentality brings thing quickly efficiently,14,4,17,"['love', 'support', 'partnership', 'built', 'feel', 'impact', 'end', 'client', 'candidate', 'end', 'day', 'job', 'help', 'important', 'feel', 'dumped', 'light', 'load']",love support partnership built feel impact end client candidate end day job help important feel dumped light load,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6342573165893555,0.31239113211631775,0.0,0.0,0.0,0.020049339160323143,0.02005050890147686,0.02005409449338913,0.2530057728290558,0.020048921927809715,0.02005160227417946,0.02004704624414444,0.5865865349769592,0.020056363195180893,0.020049775019288063
U165,100,563,True,C,F,Culture and work environment along with my team is the best reason I can say. ,"Yes, It's truly a pressurised environment to work with deep pocket profit. Required more employee centeric approach ","1) Underpay fixed income which is a major concern.
2) Employee can't depend on variables.
3)Flexibility on leaves specially the earned ones.
4)Work culture is really really good which includes employee engagement activities.
",3.0,6.0,3.5,7.57,Delivery Lead,Managed Services,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1981,Male,Asian,Achieved,Achieved,1,1.0,1.0,2.333333333333333,1.6666666666666667,2.0,Asian,0,"['culture', 'environment', 'team', 'best', 'reason']","['yes', 'truly', 'pressurised', 'environment', 'deep', 'pocket', 'profit', 'required', 'centeric', 'approach']","['underpay', 'fixed', 'income', 'major', 'concern', 'depend', 'variable', 'flexibility', 'leaf', 'specially', 'earned', 'one', 'culture', 'includes', 'engagement', 'activity']",0,2,0,0,0,0,0,0,0,culture environment team best reason,yes truly pressurised environment deep pocket profit required centeric approach,underpay fixed income major concern depend variable flexibility leaf specially earned one culture includes engagement activity,5,10,16,"['culture', 'environment', 'team', 'best', 'reason', 'yes', 'truly', 'pressurised', 'environment', 'deep', 'pocket', 'profit', 'required', 'centeric', 'approach']",culture environment team best reason yes truly pressurised environment deep pocket profit required centeric approach,15,0,0,0,0.49083495140075684,0.01666715368628502,0.01666715368628502,0.016668198630213737,0.01666773296892643,0.37581485509872437,0.01667368784546852,0.01666715368628502,0.01667037047445774,0.016668759286403656,0.01112139131873846,0.6392556428909302,0.011119267903268337,0.011117295362055302,0.011117324233055115,0.2717892527580261,0.01111778523772955,0.011120299808681011,0.011119227856397629,0.01112242229282856
U72,100,1024,True,F,G,"I don't feel like just an employee, here my opinion matters. individual development has equal importance. ",pressure to deliver best at all time is some time difficult and can drain you out. ,"""Work hard, Play Hard""... we work hard everyday to outperform the competition and when the time comes to celebrate no one no better than us be it ""Employee appreciation week""  ""President's club"" weekly fun activity, lot of contests etc. ",6.0,7.0,4.666666666666667,10.87,Senior Delivery Manager,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1988,Male,Asian,Achieved,Achieved,1,1.0,1.0,1.6666666666666667,2.0,1.8333333333333333,Asian,0,"['feel', 'like', 'opinion', 'matter', 'individual', 'development', 'equal', 'importance']","['pressure', 'deliver', 'best', 'time', 'time', 'difficult', 'drain']","['hard', 'play', 'hard', 'hard', 'everyday', 'outperform', 'competition', 'time', 'come', 'celebrate', 'better', 'appreciation', 'week', ""president's"", 'club', 'weekly', 'fun', 'activity', 'contest', 'etc']",0,2,0,0,0,0,2,0,0,feel like opinion matter individual development equal importance,pressure deliver best time time difficult drain,hard play hard hard everyday outperform competition time come celebrate better appreciation week president's club weekly fun activity contest etc,8,7,20,"['feel', 'like', 'opinion', 'matter', 'individual', 'development', 'equal', 'importance', 'pressure', 'deliver', 'best', 'time', 'time', 'difficult', 'drain']",feel like opinion matter individual development equal importance pressure deliver best time time difficult drain,15,0,0,0,0.01111289206892252,0.011113382875919342,0.01111289206892252,0.011113296262919903,0.011114080436527729,0.011115508154034615,0.5335732698440552,0.01111304946243763,0.3775181770324707,0.011113439686596394,0.012514638714492321,0.1861533373594284,0.012510507367551327,0.012509962543845177,0.012509986758232117,0.0125111173838377,0.012509952299296856,0.7137561440467834,0.012511503882706165,0.01251286081969738
U214,100,554,True,E,F,"The management team I'm a part of, my manager, my team, the spirit, the passion, the drive, the aggressiveness.  Our company rocks.",Lack of communication sometimes which ends up hurting us rather than helping us.  ,There are so many stories about our culture.  Spending Employee Appreciation Week together and seeing the smiling faces of our employees feeling thankful and having fun.  Planning and being a part of International Women's Day and seeing the women at Collabera loving what the company is doing for them.  Traveling around to the different offices and spending time with people on the floor and seeing their passion and the comradery between teammates.,5.0,6.0,5.0,6.53,Senior Vice President,Strategic Accounts Team,Sales,Client Acquisition,Basking Ridge (Allen Road),New Jersey,U.S.A.,Collabera Inc.,1967,Female,White,Not Achieved,Not Achieved,1,0.0,0.0,1.0,1.0,1.0,White,0,"['management', 'team', 'manager', 'team', 'spirit', 'passion', 'drive', 'aggressiveness', 'rock']","['lack', 'communication', 'end', 'hurting', 'helping']","['story', 'culture', 'spending', 'appreciation', 'week', 'seeing', 'smiling', 'face', 'feeling', 'thankful', 'having', 'fun', 'planning', 'international', ""women's"", 'day', 'seeing', 'woman', 'loving', 'traveling', 'different', 'office', 'spending', 'time', 'floor', 'seeing', 'passion', 'comradery', 'teammate']",1,3,0,2,0,0,2,0,2,management team manager team spirit passion drive aggressiveness rock,lack communication end hurting helping,story culture spending appreciation week seeing smiling face feeling thankful having fun planning international women's day seeing woman loving traveling different office spending time floor seeing passion comradery teammate,9,5,29,"['management', 'team', 'manager', 'team', 'spirit', 'passion', 'drive', 'aggressiveness', 'rock', 'lack', 'communication', 'end', 'hurting', 'helping']",management team manager team spirit passion drive aggressiveness rock lack communication end hurting helping,14,0,0,0,0.17076094448566437,0.010079058818519115,0.010082097724080086,0.010079109109938145,0.010080523788928986,0.010081987828016281,0.6553465127944946,0.010081994347274303,0.010079657658934593,0.10332810878753662,0.016681848093867302,0.30244696140289307,0.5640878677368164,0.016680726781487465,0.016683772206306458,0.016684280708432198,0.01667960174381733,0.01668429933488369,0.01668912172317505,0.016681522130966187
U139,100,739,True,D,F,"The Culture and Passion of Collabera, it is incomparable. ",The downsides depends on person to person basis. As of now the one that i can think of is the attrition of the mid level managers joining their competitors.,"Winning the PC award and visiting Dubai as a token of appreciation for year hard work, reflecting the Work Hard Play Hard culture of collabera. ",4.0,6.0,4.166666666666667,8.11,Delivery Manager,Delivery- Global,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1990,Male,Asian,Achieved,Not Achieved,1,1.0,0.0,2.0,2.0,2.0,Asian,0,"['culture', 'passion', 'incomparable']","['downside', 'depends', 'person', 'person', 'basis', 'think', 'attrition', 'mid', 'level', 'manager', 'joining', 'competitor']","['winning', 'pc', 'award', 'visiting', 'dubai', 'token', 'appreciation', 'year', 'hard', 'reflecting', 'hard', 'play', 'hard', 'culture']",0,0,0,0,1,1,0,0,0,culture passion incomparable,downside depends person person basis think attrition mid level manager joining competitor,winning pc award visiting dubai token appreciation year hard reflecting hard play hard culture,3,12,14,"['culture', 'passion', 'incomparable', 'downside', 'depends', 'person', 'person', 'basis', 'think', 'attrition', 'mid', 'level', 'manager', 'joining', 'competitor']",culture passion incomparable downside depends person person basis think attrition mid level manager joining competitor,15,0,0,0,0.03333958983421326,0.03333451226353645,0.03333451226353645,0.03333451226353645,0.03333451226353645,0.03333558142185211,0.6999801397323608,0.03333451226353645,0.03333451226353645,0.03333763778209686,0.23940987884998322,0.29487714171409607,0.3068683445453644,0.0,0.0,0.0,0.0,0.11266782879829407,0.0,0.0
U293,100,446,True,F,F,Good wokring culture and environment arounf everywhere in office,we are deeprived with our social life and stuck in night life ,"we feel like family we share a bond to each other .
we care about company as a single entity",6.0,6.0,5.0,5.35,Associate Delivery Manager,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1990,Male,Asian,Not Applicable,Not Applicable,1,,,2.6666666666666665,2.0,2.333333333333333,Asian,0,"['wokring', 'culture', 'environment', 'arounf', 'office']","['deeprived', 'social', 'life', 'stuck', 'night', 'life']","['feel', 'like', 'family', 'share', 'bond', 'care', 'single', 'entity']",0,0,0,2,0,0,3,0,0,wokring culture environment arounf office,deeprived social life stuck night life,feel like family share bond care single entity,5,6,8,"['wokring', 'culture', 'environment', 'arounf', 'office', 'deeprived', 'social', 'life', 'stuck', 'night', 'life']",wokring culture environment arounf office deeprived social life stuck night life,11,0,0,0,0.7749873399734497,0.024999424815177917,0.024999424815177917,0.024999428540468216,0.024999426677823067,0.0250004380941391,0.025004614144563675,0.025008833035826683,0.024999424815177917,0.025001689791679382,0.016670463606715202,0.016675245016813278,0.01667466200888157,0.01667696237564087,0.016670452430844307,0.016673503443598747,0.016683304682374,0.5166664719581604,0.016675105318427086,0.34993377327919006
U101,100,1258,True,D,B,"Best part about working at Collabera is the culture we follow here, the open door policy. I don't have to think twice before reaching out to someone who is 3 levels above me. The management is always very considerate about to professional as well as the personal challenges anyone might be facing.","Growth opportunities are not available in all the departments, after a certain point it comes to a point of saturation for some people.","Collabera is the only organisation I know that thinks and spends so much on the well being of its employee, be it global EAW or yearly Blaze.",4.0,2.0,4.5,9.51,Account Manager,National Accounts,Sales,Sales,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1986,Female,Asian,Not Applicable,Not Applicable,1,,,2.0,2.333333333333333,2.166666666666667,Asian,0,"['best', 'culture', 'follow', 'open', 'door', 'policy', 'think', 'twice', 'reaching', 'level', 'management', 'considerate', 'professional', 'personal', 'challenge', 'facing']","['growth', 'opportunity', 'available', 'department', 'certain', 'point', 'come', 'point', 'saturation']","['organisation', 'know', 'think', 'spends', 'global', 'eaw', 'yearly', 'blaze']",1,2,0,0,0,0,0,1,0,best culture follow open door policy think twice reaching level management considerate professional personal challenge facing,growth opportunity available department certain point come point saturation,organisation know think spends global eaw yearly blaze,16,9,8,"['best', 'culture', 'follow', 'open', 'door', 'policy', 'think', 'twice', 'reaching', 'level', 'management', 'considerate', 'professional', 'personal', 'challenge', 'facing', 'growth', 'opportunity', 'available', 'department', 'certain', 'point', 'come', 'point', 'saturation']",best culture follow open door policy think twice reaching level management considerate professional personal challenge facing growth opportunity available department certain point come point saturation,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4055820107460022,0.5473254919052124,0.0,0.0,0.0,0.2882486581802368,0.13058215379714966,0.01003972440958023,0.010039168410003185,0.010037943720817566,0.010038923472166061,0.5108960270881653,0.010039479471743107,0.010039228945970535,0.010038706474006176
U292,100,520,True,B,D,"I like to work with Collabera, because I started my career here. I am so comfortable with the work culture and moreover I like working as a Recruiter. I know incentives are there for a hire, but then there is a different level of satisfaction to help someone get a job.","The only downside for me is working in night shift and also too much team change for me due to management's decision, and got very less growth here.","I like how they are trying to implement employee engagement & Performance management plans, but then it is not fully implemented. Lot of work needs to be done.",2.0,4.0,5.0,5.37,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1991,Female,Asian,Achieved,Achieved,1,1.0,1.0,2.333333333333333,2.6666666666666665,2.5,Asian,0,"['like', 'started', 'career', 'comfortable', 'culture', 'like', 'recruiter', 'know', 'incentive', 'hire', 'different', 'level', 'satisfaction', 'help', 'job']","['downside', 'night', 'shift', 'team', 'change', ""management's"", 'decision', 'got', 'growth']","['like', 'trying', 'implement', 'engagement', 'performance', 'management', 'plan', 'fully', 'implemented', 'need']",0,6,0,0,2,0,0,1,1,like started career comfortable culture like recruiter know incentive hire different level satisfaction help job,downside night shift team change management's decision got growth,like trying implement engagement performance management plan fully implemented need,15,9,10,"['like', 'started', 'career', 'comfortable', 'culture', 'like', 'recruiter', 'know', 'incentive', 'hire', 'different', 'level', 'satisfaction', 'help', 'job', 'downside', 'night', 'shift', 'team', 'change', ""management's"", 'decision', 'got', 'growth']",like started career comfortable culture like recruiter know incentive hire different level satisfaction help job downside night shift team change management's decision got growth,24,0,0,0,0.0,0.05448223277926445,0.0,0.0,0.025521637871861458,0.633781373500824,0.24870145320892334,0.0,0.0,0.0,0.11752346158027649,0.01000816747546196,0.11370669305324554,0.010005510412156582,0.010005061514675617,0.4027264416217804,0.010009386576712132,0.010005510412156582,0.07441049814224243,0.24159929156303406
U259,100,736,True,G,D,"Work culture, Recognition, work environment, people, reputed company among other staffing companies, Local to my place","Sometimes undeserved person gets promoted, we talk about cross regional / department recruiting but support we get from other regions/department is less","Since I like Collabera culture, I have a positive stories only. Approx 2 years back I was really frustrated with my performance. I was thinking of leaving  but kind of support I got from my colleagues/managers were exceptional and I decided to stay, not just that I won Blaze a year after that :)",7.0,4.0,4.666666666666667,5.79,Lead Recruiter,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1990,Male,Asian,Achieved,Achieved,1,1.0,1.0,1.6666666666666667,2.333333333333333,2.0,Asian,0,"['culture', 'recognition', 'environment', 'reputed', 'staffing', 'company', 'local', 'place']","['undeserved', 'person', 'get', 'promoted', 'talk', 'cross', 'regional', 'department', 'recruiting', 'support', 'region', 'department']","['like', 'culture', 'positive', 'story', 'approx', 'year', 'frustrated', 'performance', 'thinking', 'leaving', 'kind', 'support', 'got', 'colleague', 'manager', 'exceptional', 'decided', 'stay', 'won', 'blaze', 'year', ':)']",0,1,0,2,0,0,0,9,0,culture recognition environment reputed staffing company local place,undeserved person get promoted talk cross regional department recruiting support region department,like culture positive story approx year frustrated performance thinking leaving kind support got colleague manager exceptional decided stay won blaze year :),8,12,22,"['culture', 'recognition', 'environment', 'reputed', 'staffing', 'company', 'local', 'place', 'undeserved', 'person', 'get', 'promoted', 'talk', 'cross', 'regional', 'department', 'recruiting', 'support', 'region', 'department']",culture recognition environment reputed staffing company local place undeserved person get promoted talk cross regional department recruiting support region department,20,0,0,0,0.2789952754974365,0.011123036034405231,0.011119717732071877,0.14916785061359406,0.011122694239020348,0.1502407342195511,0.011124419048428535,0.011121891438961029,0.17152158915996552,0.19446273148059845,0.0,0.09723694622516632,0.6136429309844971,0.23520652949810028,0.0,0.0,0.0,0.0,0.0,0.0
